objectId,fall_year,vid_id,ACL,bludger_count,time,updatedAt,author_id,stat_name,player_in_id,player_id,createdAt,team_id
TS0UkkZ00u,2015,lqoUWNWc2Nk,null,,1994,Fri Aug 05 2016 12:26:36 GMT-0500 (Central Daylight Time),nwlMkrbCJ9,PAUSE_CLOCK,,,Fri Aug 05 2016 12:26:36 GMT-0500 (Central Daylight Time),mhnUAAk8wm
TS1gzrZgq8,2021,xWoB5bLcuBo,null,,2446,Wed Aug 04 2021 18:53:54 GMT-0500 (Central Daylight Time),qEosoYINFN,AWAY_GOAL,,,Wed Aug 04 2021 18:53:54 GMT-0500 (Central Daylight Time),
TS80hqBtrv,2017,BvLn4CcemZ0,null,,1114,Wed Dec 06 2017 12:42:58 GMT-0600 (Central Standard Time),nwlMkrbCJ9,SUB,HCUHlfP7mQ,KyYNOHhaX9,Wed Dec 06 2017 12:42:58 GMT-0600 (Central Standard Time),72aC65hDVy
TSK9Eaog1L,2015,45XL9pyutLs,null,0,5,Sat Feb 27 2016 15:50:19 GMT-0600 (Central Standard Time),nwlMkrbCJ9,OFFENSE,,,Sat Feb 27 2016 15:50:19 GMT-0600 (Central Standard Time),72aC65hDVy
TSLvv9IkIw,2015,rmUk-HPcOfE,null,,1024,Wed Oct 21 2015 11:40:59 GMT-0500 (Central Daylight Time),nwlMkrbCJ9,AWAY_GOAL,null,null,Tue Oct 20 2015 22:03:10 GMT-0500 (Central Daylight Time),72aC65hDVy
TScnTm4Q4s,2015,-ZbaCsIHeWE,null,,65,Mon Dec 21 2015 16:29:11 GMT-0600 (Central Standard Time),ubjmu99u4h,TAKEAWAY,null,44FLRvEEyQ,Mon Dec 21 2015 16:29:11 GMT-0600 (Central Standard Time),Bmlv3mbbOu
TSiDUzVsvH,2016,HevU7L7Af8U,null,2,1472,Tue Nov 22 2016 17:08:00 GMT-0600 (Central Standard Time),nwlMkrbCJ9,DEFENSE,,,Tue Nov 22 2016 17:08:00 GMT-0600 (Central Standard Time),72aC65hDVy
TSlBjR2XEA,2015,euuvPHjuqOY,null,,669,Tue Dec 15 2015 16:25:23 GMT-0600 (Central Standard Time),X3X3bWXs8E,SUB,cKoMEDQS4x,qYoPRC8l59,Tue Dec 15 2015 16:25:23 GMT-0600 (Central Standard Time),aguEb8e6HQ
TSwokNDL91,2017,GmKXHN_zfgQ,null,,736,Wed Jan 31 2018 21:55:56 GMT-0600 (Central Standard Time),PnUcE7oTGf,START_CLOCK,,,Wed Jan 31 2018 21:55:56 GMT-0600 (Central Standard Time),ZONaVCJXMP
TT1UVBMwBs,2016,GMmkXyE-GdE,null,,757,Thu Nov 03 2016 10:16:01 GMT-0500 (Central Daylight Time),nwlMkrbCJ9,GAIN_CONTROL,,,Thu Nov 03 2016 10:16:01 GMT-0500 (Central Daylight Time),ejsL26LzRP
