objectId,fall_year,vid_id,ACL,updatedAt,createdAt,description,team_id,opponent_id
l5pZ8unNYe,2015,SM4jJABeVDI,null,Sun Jun 26 2016 01:24:06 GMT-0500 (Central Daylight Time),Sun Jun 26 2016 01:23:50 GMT-0500 (Central Daylight Time),Euro Games UK,cYlqGU5idc,mhnUAAk8wm
lZC2R75qx0,2015,SS4HEYF172k,null,Fri Jul 08 2016 17:14:13 GMT-0500 (Central Daylight Time),Fri Jul 08 2016 17:14:13 GMT-0500 (Central Daylight Time),Euro Games Turkey,1Tq5ZLgKzB,bE8h4EPjOa
mMoxxAsetG,2017,bOuZBrwar08,null,Sat May 09 2020 11:25:12 GMT-0500 (Central Daylight Time),Mon Feb 18 2019 20:45:05 GMT-0600 (Central Standard Time),Alamo V Cavalry,hiXRckO3HR,Y0cHofeNs5
mtoFxjt4A2,2015,Z2abZPr6jAU,null,Wed Nov 11 2015 16:31:38 GMT-0600 (Central Standard Time),Wed Nov 11 2015 16:31:38 GMT-0600 (Central Standard Time),GLRC Carnegie Mellon,72aC65hDVy,
my3kpkeoZL,2015,L94WFKoI7oE,null,Mon Dec 21 2015 17:33:11 GMT-0600 (Central Standard Time),Mon Dec 21 2015 17:33:11 GMT-0600 (Central Standard Time),UBC @ Rocky Mountain Rumble,Bmlv3mbbOu,
nkEAfua6Uh,2021,xWoB5bLcuBo,null,Tue Aug 03 2021 22:47:08 GMT-0500 (Central Daylight Time),Tue Aug 03 2021 22:47:08 GMT-0500 (Central Daylight Time),AUS SA 2 2021,9pknZhSrVp,s8MTQ8xMBE
noBdc5jRxl,2015,UEuZQ5BxO4A,null,Tue Dec 15 2015 16:03:45 GMT-0600 (Central Standard Time),Tue Dec 15 2015 16:03:45 GMT-0600 (Central Standard Time),Rochester Game 3,aguEb8e6HQ,
ohqn79vFRA,2016,dHE0LQU9SmM,null,Wed Mar 14 2018 12:34:52 GMT-0500 (Central Daylight Time),Wed Mar 14 2018 12:34:52 GMT-0500 (Central Daylight Time),League City Game 2,pFe1cFCeHX,Gf7Lbvl78R
ooMau1gvo9,2015,1Kl9weApVIk,null,Sun Apr 10 2016 10:06:16 GMT-0500 (Central Daylight Time),Sun Apr 10 2016 10:06:16 GMT-0500 (Central Daylight Time),Nittany Invatational Richmond,sDwvaTBIyS,
pVAqnCrRFI,2016,w-o7O5yD3Ks,null,Mon Feb 13 2017 14:52:12 GMT-0600 (Central Standard Time),Mon Feb 13 2017 14:52:12 GMT-0600 (Central Standard Time),2017 Fight or Flight: CWRU,72aC65hDVy,YxFzyU7JOS
pjwDRF50FH,2015,ZogFOQWYJak,null,Fri Aug 05 2016 00:21:16 GMT-0500 (Central Daylight Time),Fri Aug 05 2016 00:21:16 GMT-0500 (Central Daylight Time),WC 2016 Team Germany,NGA0DzgJnH,cYlqGU5idc
qdKzzoCUSh,2018,ohtvCX215ig,null,Sat May 09 2020 11:23:59 GMT-0500 (Central Daylight Time),Sat May 02 2020 13:09:51 GMT-0500 (Central Daylight Time),Boston Night Riders Game 1,9pknZhSrVp,7k4NM5D7Jc
qz0niLWUpn,2017,qiiOBmKXJgI,null,Sat May 09 2020 11:25:06 GMT-0500 (Central Daylight Time),Tue Feb 19 2019 19:17:04 GMT-0600 (Central Standard Time),Alamo V Texas State,hiXRckO3HR,FcfiL1DyBo
rOyF9Abvea,2015,yoqEMRLknmM,null,Fri Aug 05 2016 22:50:26 GMT-0500 (Central Daylight Time),Fri Aug 05 2016 22:50:26 GMT-0500 (Central Daylight Time),WC 2016 Team Australia,NGA0DzgJnH,b0FK1qJldP
rQveU4aVU6,2015,k_rGf0762AM,null,Thu Dec 10 2015 15:05:15 GMT-0600 (Central Standard Time),Thu Dec 10 2015 15:05:15 GMT-0600 (Central Standard Time),Indy Game 2,wl56jgemqS,
rtzB3JII8a,2015,eFaguEK1hBA,null,Fri Jan 01 2016 13:47:28 GMT-0600 (Central Standard Time),Fri Jan 01 2016 13:47:28 GMT-0600 (Central Standard Time),Dodo A vs Brussels Qwaffles Belgian Cup,fOslL2YWS4,
sCVpMWsGgm,2015,PY62E-JX8-Q,null,Wed Jan 06 2016 19:42:09 GMT-0600 (Central Standard Time),Wed Jan 06 2016 19:42:09 GMT-0600 (Central Standard Time),Regionals vs. GVSU,SobMXhbxsA,
snr5iyzLlU,2016,o_TGE-uXPKA,null,Wed Mar 14 2018 12:33:24 GMT-0500 (Central Daylight Time),Wed Mar 14 2018 12:33:24 GMT-0500 (Central Daylight Time),Rochester Game 3,pFe1cFCeHX,vDzQtXa7zd
